,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
42,1500000,8,3,NA,"1178 Rogers Ave, Brooklyn, NY 11226",https://www.zillow.com/homedetails/1178-Rogers-Ave-Brooklyn-NY-11226/30668696_zpid/,Cooperative,1920,"Private, Detached",No Data,,,"$5,085/mo",$0/mo,$813/mo,$525/mo,"-Ps 269 Nostrand,-Jhs 278 Marine Park,-Midwood High School,","0.5,0.8,0.6,"
43,279000,2,1,NA,"138-18 28th Rd #3C, Flushing, NY 11354",https://www.zillow.com/homedetails/138-18-28th-Rd-3C-Flushing-NY-11354/2080683570_zpid/,Cooperative,1952,0 spaces,No Data,$785 monthly,,"$1,016/mo",$0/mo,$195/mo,$98/mo,"-Ps 214 Cadwallader Colden,-Jhs 185 Edward Bleeker,-Flushing High School,","0.8,0.9,0.2,"
44,318888,2,1,NA,"Crocheron Ave, Flushing, NY 11358",https://www.zillow.com/homedetails/172-12-Crocheron-Ave-1C-Flushing-NY-11358/2080384231_zpid/,Cooperative,1950,"On Street, Waitlist","Natural Gas, Hot Water",$838 monthly,,,,,,"-Ps 32 State Street,-World Journalism Preparatory  A College Board School,","0.7,0.6,"
45,385000,1,1,NA,"11120 73rd Ave APT 8C, Forest Hills, NY 11375",https://www.zillow.com/homedetails/11120-73rd-Ave-APT-8C-Forest-Hills-NY-11375/2073754443_zpid/,Townhouse,1966,0 spaces,"Natural Gas, Hot Water","$1,048 monthly",,"$1,402/mo",$0/mo,$270/mo,$135/mo,"-Ps 196 Grand Central Parkway,-Jhs 157 Stephen A Halsey,-Hillcrest High School,","1.0,0.9,0.4,"
46,880000,3,1,1729,"146-51 61st Rd, Flushing, NY 11367",https://www.zillow.com/homedetails/146-51-61st-Rd-Flushing-NY-11367/2073754442_zpid/,Condo,1945,"Private, Attached","Oil, Other",0.04 Acres,$509 ,"$2,993/mo",$0/mo,$616/mo,$308/mo,"-Ps 219 Paul Klapper,-John Bowne High School,","0.8,0.3,"
47,625000,1,1,662,"10920 Queens Blvd APT 5J, Forest Hills, NY 11375",https://www.zillow.com/homedetails/10920-Queens-Blvd-APT-5J-Forest-Hills-NY-11375/2117866111_zpid/,Condo,1929,0 spaces,No Data,$496 monthly,$944 ,"$2,126/mo",$0/mo,$438/mo,$219/mo,"-Ps 101 School In The Gardens,-Jhs 190 Russell Sage,-Hillcrest High School,","0.9,0.7,0.4,"
48,775000,4,3,1926,"2641 E 24th St #1B, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2641-E-24th-St-1B-Brooklyn-NY-11235/64781083_zpid/,Cooperative,2003,Covered,No Data,$270 monthly,$402 ,"$2,636/mo",$0/mo,$420/mo,$271/mo,"-Ps 52 Sheepshead Bay,-Jhs 14 Shell Bank,-Origins High School,","0.6,0.7,0.3,"
49,1175000,1,1,NA,"35 E 10th St APT 7D, New York, NY 10003",https://www.zillow.com/homedetails/35-E-10th-St-APT-7D-New-York-NY-10003/88888440_zpid/,Cooperative,1900,0 spaces,No Data,"$1,523 monthly",,"$3,983/mo",$0/mo,$862/mo,$411/mo,"-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.9,0.6,0.9,"
50,675000,1,1,700,"233 W 99th St APT 17D, New York, NY 10025",https://www.zillow.com/homedetails/233-W-99th-St-APT-17D-New-York-NY-10025/244833093_zpid/,Cooperative,1930,0 spaces,No Data,"$1,448 monthly",$964 ,"$2,296/mo",$0/mo,$495/mo,$236/mo,"-Ps 163 Alfred E Smith,-Ms 250 West Side Collaborative Middle School,-Edward A Reynolds West Side High School,","0.8,0.2,0.1,"
51,575000,"Studio,",1,NA,"205 3rd Ave APT 16D, New York, NY 10003",https://www.zillow.com/homedetails/205-3rd-Ave-APT-16D-New-York-NY-10003/72518015_zpid/,MultiFamily,1964,0 spaces,No Data,"$1,045 monthly",,"$1,956/mo",$0/mo,$422/mo,$201/mo,"-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
52,1399999,5,4,3900,"66 Bennett Ave, Staten Island, NY 10312",https://www.zillow.com/homedetails/66-Bennett-Ave-Staten-Island-NY-10312/32364840_zpid/,SingleFamily,1993,"Built-in, Garage, Off Street, On Street","Hot Water, Natural Gas",$359 ,,"$4,746/mo",$0/mo,"$1,015/mo",$490/mo,"-Ps 36 J C Drumgoole,-Is 7 Elias Bernstein,-Tottenville High School,","0.7,0.9,0.5,"
53,560000,2,1,1700,"3101 Wissman Ave, Bronx, NY 10465",https://www.zillow.com/homedetails/3101-Wissman-Ave-Bronx-NY-10465/29846920_zpid/,MultiFamily,1940,"Driveway, Private, Storage","Oil, Hot Water",0.06 Acres,$329 ,"$2,039/mo",$0/mo,$443/mo,$196/mo,"-Ps 72 Dr William Dorney,-Urban Institute Of Mathematics,-Herbert H Lehman High School,","0.6,0.8,0.2,"
54,1400000,5,4,NA,"7606 Rockaway Blvd, Jamaica, NY 11421",https://www.zillow.com/homedetails/7606-Rockaway-Blvd-Jamaica-NY-11421/32109021_zpid/,SingleFamily,1931,None,"Natural Gas, Steam",,,"$4,746/mo",$0/mo,$980/mo,$490/mo,"-Ps 60 Woodhaven,-Jhs 210 Elizabeth Blackwell,-Richmond Hill High School,","0.9,0.4,0.3,"
55,835000,3,2,1400,"77-04 87th St, Ridgewood, NY 11385",https://www.zillow.com/homedetails/77-04-87th-St-Ridgewood-NY-11385/2073755063_zpid/,Cooperative,1931,"Shared Driveway, Detached, Carport","Natural Gas, Hot Water",0.05 Acres,$596 ,"$2,840/mo",$0/mo,$585/mo,$292/mo,"-Ps 113 Isaac Chauncey,-Newtown High School,","0.9,0.3,"
