,Price,Bedrooms,Bathrooms,Area,,,Type,Construction,Parking,Heating,HOA,Price_SQFT,Principal_Interest,Mortgage,Tax,Insurance,School,Ranking
371,349000,2,1,NA,"68-22 136th St #A, Flushing, NY 11367",https://www.zillow.com/homedetails/68-22-136th-St-A-Flushing-NY-11367/2073909952_zpid/,Apartment,1950,0 spaces,No Data,$961 monthly,,"$1,270/mo",$0/mo,$244/mo,$122/mo,"-Ps 219 Paul Klapper,-John Bowne High School,","0.8,0.3,"
372,1995000,7,4,2106,"714a Quincy Street, Brooklyn, NY 11221",https://www.zillow.com/homedetails/714a-Quincy-Street-Brooklyn-NY-11221/2100244510_zpid/,MultiFamily,1899,0 spaces,Gas,$947 ,,"$6,712/mo",$0/mo,"$1,081/mo",$698/mo,"-Ps 308 Clara Cardwell,-Boys and Girls High School,","0.4,0.2,"
373,1775000,2,2,1100,"201 W 72nd St APT 7D, New York, NY 10023",https://www.zillow.com/homedetails/201-W-72nd-St-APT-7D-New-York-NY-10023/31522137_zpid/,Condo,1991,0 spaces,No Data,"$1,006 monthly","$1,614 ","$5,971/mo",$0/mo,"$1,302/mo",$621/mo,"-Special Music School,","0.9,"
374,4850000,3,3,NA,"1088 Park Ave #12F, New York, NY 10128",https://www.zillow.com/homedetails/1088-Park-Ave-12F-New-York-NY-10128/111036396_zpid/,Cooperative,1925,0 spaces,No Data,"$5,972 monthly",,"$16,316/mo",$0/mo,"$3,557/mo","$1,698/mo","-Ps 6 Lillie D Blake,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
375,889000,5,3,3270,"362 E 235th St, Bronx, NY 10470",https://www.zillow.com/homedetails/362-E-235th-St-Bronx-NY-10470/29789543_zpid/,MultiFamily,1915,"Driveway, Private","Oil, Steam",$272 ,,"$3,026/mo",$0/mo,$704/mo,$311/mo,"-Ps 19 Judith K Weiss,-New World High School,","0.9,0.3,"
376,939500,1,1,763,"265 State St #703, Brooklyn, NY 11201",https://www.zillow.com/homedetails/265-State-St-703-Brooklyn-NY-11201/245038484_zpid/,Condo,2016,0 spaces,No Data,$712 monthly,"$1,231 ","$3,198/mo",$0/mo,$509/mo,$329/mo,"-P.S. 261 Philip Livingston,-School For International Studies,","0.4,0.3,"
377,2279000,3,3,1647,"345 Carroll St APT 2F, Brooklyn, NY 11231",https://www.zillow.com/homedetails/345-Carroll-St-APT-2F-Brooklyn-NY-11231/2095120705_zpid/,Condo,2014,0 spaces,No Data,"$1,851 monthly","$1,384 ","$7,667/mo",$0/mo,"$1,234/mo",$798/mo,"-Ps 32 Samuels Mills Sprole,-New Horizons School,-Cobble Hill School of American Studies,","0.5,0.8,0.3,"
378,845000,3,2,2440,"42 Whitaker Pl, Staten Island, NY 10304",https://www.zillow.com/homedetails/42-Whitaker-Pl-Staten-Island-NY-10304/32325861_zpid/,SingleFamily,1915,"Garage, Garage - Attached",No Data,"6,100 sqft",$346 ,"$2,876/mo",$0/mo,$613/mo,$296/mo,"-Ps 11 Thomas Dongan School,-Is 2 George L Egbert,-New Dorp High School,","0.7,0.4,0.4,"
379,275000,1,1,876,"83-55 Lefferts Blvd #6F, Kew Gardens, NY 11415",https://www.zillow.com/homedetails/83-55-Lefferts-Blvd-6F-Kew-Gardens-NY-11415/2080707415_zpid/,Cooperative,1922,0 spaces,No Data,"$1,134 monthly",$314 ,"$1,000/mo",$0/mo,$193/mo,$96/mo,,
380,15750000,9,7,9565,"5 W 73rd St, New York, NY 10023",https://www.zillow.com/homedetails/5-W-73rd-St-New-York-NY-10023/2083620875_zpid/,Townhouse,1920,0 spaces,No Data,No Data,"$1,647 ","$52,986/mo",$0/mo,"$11,550/mo","$5,513/mo","-Ps 87 William Sherman,-Special Music School,","1.0,0.9,"
381,1100000,2,2,1200,"3 E 71st St APT 4D, New York, NY 10021",https://www.zillow.com/homedetails/3-E-71st-St-APT-4D-New-York-NY-10021/72527333_zpid/,Cooperative,1948,0 spaces,No Data,"$2,333 monthly",$917 ,"$3,701/mo",$0/mo,$807/mo,$385/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
382,880000,1,1,950,"233 E 69th St APT 12D, New York, NY 10021",https://www.zillow.com/homedetails/233-E-69th-St-APT-12D-New-York-NY-10021/244772877_zpid/,Cooperative,1957,0 spaces,No Data,"$2,022 monthly",$926 ,"$2,995/mo",$0/mo,$645/mo,$308/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
383,679000,3,3,NA,"12610 135th Ave, Jamaica, NY 11420",https://www.zillow.com/homedetails/12610-135th-Ave-Jamaica-NY-11420/32178938_zpid/,SingleFamily,1925,None,"Natural Gas, Baseboard",0.05 Acres,,"$2,311/mo",$0/mo,$475/mo,$238/mo,"-Ps 124 Osmond A Church,-Jhs 226 Virgil I Grisson,-John Adams High School,","0.7,0.4,0.3,"
384,749900,3,1,1321,"250th St, Bellerose, NY 11426",https://www.zillow.com/homedetails/80-50-250th-St-Bellerose-NY-11426/2073912133_zpid/,SingleFamily,1950,"Private, Detached, Driveway, Garage","Natural Gas, Baseboard",0.09 Acres,$568 ,,,,,"-Ps 133,-Irwin Altman Middle School 172,-Martin Van Buren High School,","0.8,0.8,0.3,"
385,524997,2,2,946,"16720 Foch Blvd, Jamaica, NY 11434",https://www.zillow.com/homedetails/16720-Foch-Blvd-Jamaica-NY-11434/32189692_zpid/,SingleFamily,1945,"Garage, Garage - Attached, Covered",No Data,"2,191 sqft",$555 ,"$1,910/mo",$0/mo,$367/mo,$184/mo,"-Ps 140 Edward K Ellington,-Jhs 8 Richard S Grossley,-High School for Law Enforcement and Public Safety,","0.5,0.7,0.3,"
386,1490000,8,5,3540,"1274 Saint Johns Pl, Brooklyn, NY 11213",https://www.zillow.com/homedetails/1274-Saint-Johns-Pl-Brooklyn-NY-11213/30596784_zpid/,MultiFamily,1899,"None, On Street",No Data,$364 ,,"$4,340/mo",$0/mo,$699/mo,$452/mo,"-New Bridges Elementary School,-New Heights Middle School,-Pathways Tech Early College High School,","0.6,0.4,0.3,"
387,3150000,4,2,1951,"80 Chambers St APT 13A, New York, NY 10007",https://www.zillow.com/homedetails/80-Chambers-St-APT-13A-New-York-NY-10007/65316562_zpid/,Condo,1930,0 spaces,No Data,"$2,850 monthly","$1,615 ","$10,597/mo",$0/mo,"$2,310/mo","$1,103/mo","-Spruce Street School,-Nyc Lab High School For Collaborative Studies,","0.8,0.9,"
388,2995000,4,4,4608,"150 W 119th St, New York, NY 10026",https://www.zillow.com/homedetails/150-W-119th-St-New-York-NY-10026/31551665_zpid/,MultiFamily,1920,On-street,Forced air,$650 ,,"$10,076/mo",$0/mo,"$2,196/mo","$1,048/mo","-Ps 242 The Young Diplomats Magnet School,-Wadleigh Secondary School for the Performing and Visual Arts,","0.1,0.4,"
389,865000,3,1,708,"65 W 107th St APT 1A, New York, NY 10025",https://www.zillow.com/homedetails/65-W-107th-St-APT-1A-New-York-NY-10025/89333620_zpid/,Condo,1929,0 spaces,No Data,$768 monthly,"$1,222 ","$2,946/mo",$0/mo,$634/mo,$303/mo,"-Ps 165 Robert E Simon,-Edward A Reynolds West Side High School,","0.5,0.1,"
390,649999,1,1,500,"45 Spring St #E3, New York, NY 10012",https://www.zillow.com/homedetails/45-Spring-St-E3-New-York-NY-10012/2073914820_zpid/,Cooperative,1900,0 spaces,No Data,$811 monthly,"$1,300 ","$2,214/mo",$0/mo,$477/mo,$227/mo,"-Ps 130 Hernando De Soto,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.8,0.3,0.9,"
391,979000,2,2,2000,"543 E 52nd St, Brooklyn, NY 11203",https://www.zillow.com/homedetails/543-E-52nd-St-Brooklyn-NY-11203/30654934_zpid/,SingleFamily,1920,None,No Data,0.05 Acres,$490 ,"$3,294/mo",$0/mo,$530/mo,$343/mo,"-Ps 244 Richard R Green,-Is 285 Meyer Levin,-Kurt Hahn Expeditionary Learning School,","0.5,0.7,0.2,"
392,2100000,4,4,3100,"1324 Bergen St, Brooklyn, NY 11213",https://www.zillow.com/homedetails/1324-Bergen-St-Brooklyn-NY-11213/320239547_zpid/,MultiFamily,1915,None,No Data,$677 ,,"$7,065/mo",$0/mo,"$1,138/mo",$735/mo,"-Ps 289 George V Brower,-Ps 138,-Academy for Health Careers,","0.8,0.8,0.3,"
393,195000,"Studio,",1,450,"302 96th St APT 1D, Brooklyn, NY 11209",https://www.zillow.com/homedetails/302-96th-St-APT-1D-Brooklyn-NY-11209/79714338_zpid/,Cooperative,No Data,Wait-List,No Data,$433 ,,$756/mo,$0/mo,$106/mo,$68/mo,"-Ps Is 104 The Fort Hamilton School,-Fort Hamilton High School,","0.8,0.4,"
394,288000,1,1,750,"103-30 68th Ave APT 4A, Forest Hills, NY 11375",https://www.zillow.com/homedetails/103-30-68th-Ave-APT-4A-Forest-Hills-NY-11375/72649761_zpid/,Cooperative,No Data,0 spaces,No Data,$805 monthly,$384 ,,,,,"-Ps 196 Grand Central Parkway,-Jhs 157 Stephen A Halsey,-Forest Hills High School,","1.0,0.9,0.5,"
395,1365000,1,1,745,"80 Riverside Blvd APT 10K, New York, NY 10069",https://www.zillow.com/homedetails/80-Riverside-Blvd-APT-10K-New-York-NY-10069/89335274_zpid/,Condo,2006,0 spaces,No Data,$850 monthly,"$1,832 ","$4,592/mo",$0/mo,"$1,001/mo",$478/mo,"-Ps 191 Amsterdam,-High School for Law, Advocacy and Community Justice,","0.3,0.3,"
396,4500000,2,2,2000,"61 Irving Pl APT 6A, New York, NY 10003",https://www.zillow.com/homedetails/61-Irving-Pl-APT-6A-New-York-NY-10003/72516910_zpid/,Cooperative,1950,Covered,No Data,"$3,092 monthly","$2,250 ","$15,139/mo",$0/mo,"$3,300/mo","$1,575/mo","-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
397,549000,2,1,NA,"34-41 78th St UNIT 3A, Jackson Heights, NY 11372",https://www.zillow.com/homedetails/34-41-78th-St-UNIT-3A-Jackson-Heights-NY-11372/2073916743_zpid/,Cooperative,1936,On Street,Hot Water,"$1,132 monthly",,"$2,005/mo",$0/mo,$384/mo,$192/mo,"-Ps 212,-Is 230,-William Cullen Bryant High School,","0.6,1.0,0.3,"
398,999000,3,4,NA,"144-22 70th Ave, Flushing, NY 11367",https://www.zillow.com/homedetails/144-22-70th-Ave-Flushing-NY-11367/2080346550_zpid/,SingleFamily,1940,Shared Driveway,No Data,0.05 Acres,,"$3,361/mo",$0/mo,$699/mo,$350/mo,"-Ps 165 Edith K Bergtraum,-I.S. 250 the Robert F Kennedy Community Middle School,-John Bowne High School,","0.7,0.7,0.3,"
399,380000,2,2,1000,"144-20 Village Rd APT 65B, Jamaica, NY 11435",https://www.zillow.com/homedetails/144-20-Village-Rd-APT-65B-Jamaica-NY-11435/2073918828_zpid/,Cooperative,No Data,0 spaces,No Data,"$1,381 monthly",$380 ,"$1,388/mo",$0/mo,$266/mo,$133/mo,"-Ps 117 J Keld Briarwood School,-Jhs 217 Robert A Van Wyck,-Hillcrest High School,","0.6,0.6,0.4,"
400,359000,2,1,880,"2626 Homecrest Ave APT 2W, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2626-Homecrest-Ave-APT-2W-Brooklyn-NY-11235/216143189_zpid/,Cooperative,1958,None,Forced air,$615 monthly,$408 ,"$1,311/mo",$0/mo,$194/mo,$126/mo,"-Ps 209 Margaret Mead,-Abraham Lincoln High School,","0.9,0.4,"
401,980000,7,4,2700,"263 Woodbine St #3, Brooklyn, NY 11221",https://www.zillow.com/homedetails/263-Woodbine-St-3-Brooklyn-NY-11221/2073918822_zpid/,MultiFamily,1908,0 spaces,No Data,$363 ,,"$3,297/mo",$0/mo,$531/mo,$343/mo,"-Ps 106 Edward Everett Hale,-Is 349 Math Science And Technology,-Bushwick Community High School,","0.3,0.8,0.1,"
402,2000000,3,2,58266,"310 W 79th St APT 11W, New York, NY 10024",https://www.zillow.com/homedetails/310-W-79th-St-APT-11W-New-York-NY-10024/244854958_zpid/,Cooperative,1910,0 spaces,No Data,"$3,357 monthly",$34 ,"$6,728/mo",$0/mo,"$1,467/mo",$700/mo,"-Ps 87 William Sherman,-Ms 245 The Computer School,-Innovation Diploma Plus,","1.0,0.9,0.2,"
403,1450000,1,2,973,"15 W 53rd St #21C, New York, NY 10019",https://www.zillow.com/homedetails/15-W-53rd-St-21C-New-York-NY-10019/31526938_zpid/,Condo,1982,0 spaces,No Data,"$1,363 monthly","$1,490 ","$4,878/mo",$0/mo,"$1,063/mo",$508/mo,"-Ps 111 Adolph S Ochs,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
404,400000,1,1,28250,"152 E 35th St APT 2A, New York, NY 10016",https://www.zillow.com/homedetails/152-E-35th-St-APT-2A-New-York-NY-10016/244790814_zpid/,Cooperative,1930,0 spaces,No Data,"$1,469 monthly",$14 ,"$1,461/mo",$0/mo,$293/mo,$140/mo,"-Ps 116 Mary Lindley Murray,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
405,5900000,4,4,3100,"31 Stuyvesant St, New York, NY 10003",https://www.zillow.com/homedetails/31-Stuyvesant-St-New-York-NY-10003/31496813_zpid/,MultiFamily,1850,None,Forced air,"$1,903 ",,"$19,849/mo",$0/mo,"$4,327/mo","$2,065/mo","-Ps 15 Roberto Clemente,-East Side Community School,","0.9,0.6,"
406,589000,1,2,89349,"345 E 57th St APT 1B, New York, NY 10022",https://www.zillow.com/homedetails/345-E-57th-St-APT-1B-New-York-NY-10022/244891149_zpid/,Cooperative,1928,0 spaces,No Data,"$2,114 monthly",$7 ,"$2,006/mo",$0/mo,$432/mo,$206/mo,"-Ps 59 Beekman Hill International,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
407,15950000,7,5,4416,"258 W 12th St, New York, NY 10014",https://www.zillow.com/homedetails/258-W-12th-St-New-York-NY-10014/31500558_zpid/,MultiFamily,1910,On-street,Forced air,"$3,612 ",,"$53,659/mo",$0/mo,"$11,697/mo","$5,583/mo","-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.9,0.6,0.9,"
408,749000,"Studio,",1,507,"222 W 14th St APT 5G, New York, NY 10011",https://www.zillow.com/homedetails/222-W-14th-St-APT-5G-New-York-NY-10011/31500667_zpid/,Condo,1987,None,No Data,$361 monthly,"$1,477 ","$2,551/mo",$0/mo,$549/mo,$262/mo,"-Ps 11 William T Harris,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
409,4095000,5,3,NA,"470 W 24th St #19EF, New York, NY 10011",https://www.zillow.com/homedetails/470-W-24th-St-19EF-New-York-NY-10011/2073918829_zpid/,Cooperative,No Data,0 spaces,No Data,"$6,514 monthly",,"$13,776/mo",$0/mo,"$3,003/mo","$1,433/mo","-Ps 33 Chelsea Prep,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
410,699000,1,1,631,"261 W 112th St APT 2F, New York, NY 10026",https://www.zillow.com/homedetails/261-W-112th-St-APT-2F-New-York-NY-10026/97516225_zpid/,Condo,2006,"On-street, Covered",No Data,$653 monthly,"$1,108 ","$2,381/mo",$0/mo,$513/mo,$245/mo,"-Stem Institute Of Manhattan,-Ps 76 A Phillip Randolph,-Wadleigh Secondary School for the Performing and Visual Arts,","0.3,0.3,0.4,"
411,635000,2,1,975,"91 Payson Ave APT 3E, New York, NY 10034",https://www.zillow.com/homedetails/91-Payson-Ave-APT-3E-New-York-NY-10034/244844116_zpid/,Cooperative,1935,0 spaces,No Data,$988 monthly,$651 ,"$2,163/mo",$0/mo,$466/mo,$222/mo,"-Ps 18 Park Terrace,-Jhs 52 Inwood,-INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,","0.5,0.5,0.3,"
412,1350000,2,2,1026,"118 Greenpoint Ave APT 3D, Brooklyn, NY 11222",https://www.zillow.com/homedetails/118-Greenpoint-Ave-APT-3D-Brooklyn-NY-11222/89070040_zpid/,Condo,1931,0 spaces,No Data,$612 monthly,"$1,316 ","$4,542/mo",$0/mo,$731/mo,$473/mo,"-P.S. 34 Oliver H Perry,-John Ericsson Middle School 126,-Automotive High School,","0.7,0.4,0.2,"
413,800000,1,1,750,"175 W 73rd St APT 4A, New York, NY 10023",https://www.zillow.com/homedetails/175-W-73rd-St-APT-4A-New-York-NY-10023/81945946_zpid/,Cooperative,1924,Covered,No Data,"$1,295 monthly","$1,067 ","$2,725/mo",$0/mo,$587/mo,$280/mo,"-Ps 87 William Sherman,-Special Music School,","1.0,0.9,"
414,1500000,2,2,1296,"108 5th Ave #12B, New York, NY 10003",https://www.zillow.com/homedetails/108-5th-Ave-12B-New-York-NY-10003/2073919874_zpid/,Condo,1986,Covered,No Data,"$1,992 monthly","$1,157 ","$5,046/mo",$0/mo,"$1,100/mo",$525/mo,"-Ps 11 William T Harris,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.7,0.3,0.9,"
415,249999,1,1,750,"142-20 84th Dr #3K, Jamaica, NY 11435",https://www.zillow.com/homedetails/142-20-84th-Dr-3K-Jamaica-NY-11435/79746850_zpid/,Cooperative,1959,0 spaces,"ENERGY STAR Qualified Equipment, Hot Water",$333 ,,$970/mo,$0/mo,$175/mo,$87/mo,"-Ps 117 J Keld Briarwood School,-Jhs 217 Robert A Van Wyck,-Hillcrest High School,","0.6,0.6,0.4,"
416,115000,1,NA,NA,"146TH St #NY, Queens, NY 11413",https://www.zillow.com/homedetails/146TH-St-NY-Queens-NY-11413/2099336002_zpid/,,,,,,,$446/mo,$0/mo,$81/mo,$40/mo,"-Cynthia Jenkins School,-Collaborative Arts Middle School,-Excelsior Preparatorty High School,","0.3,0.4,0.4,"
417,289900,2,1,607,"254-24 75th Ave FLOOR 1, Glen Oaks, NY 11004",https://www.zillow.com/homedetails/254-24-75th-Ave-FLOOR-1-Glen-Oaks-NY-11004/2073920549_zpid/,Cooperative,1950,0 spaces,"Natural Gas, Hot Water",$686 monthly,$478 ,"$1,059/mo",$0/mo,$203/mo,$101/mo,"-Ps 186 Castlewood,-Irwin Altman Middle School 172,-Martin Van Buren High School,","0.8,0.8,0.3,"
418,1048000,3,2,NA,"80th Dr, Jamaica, NY 11432",https://www.zillow.com/homedetails/176-19-80th-Dr-Jamaica-NY-11432/2079007019_zpid/,SingleFamily,1940,"Private, Detached, Garage",Natural Gas,0.12 Acres,,,,,,"-Ps 131 Abigail Adams,-Is 238 Susan B Anthony,-Cambria Heights Academy,","0.9,0.3,0.4,"
419,219000,"Studio,",1,450,"144-44 41st Ave #3F, Flushing, NY 11355",https://www.zillow.com/homedetails/144-44-41st-Ave-3F-Flushing-NY-11355/2073921208_zpid/,Cooperative,1951,Waitlist,No Data,$401 monthly,$487 ,$849/mo,$0/mo,$153/mo,$77/mo,"-Ps 22 Thomas Jefferson,-Jhs 189 Daniel Carter Beard,-Flushing High School,","0.9,0.6,0.2,"
420,1529000,4,3,2400,"4212 25th Ave, Long Island City, NY 11103",https://www.zillow.com/homedetails/4212-25th-Ave-Long-Island-City-NY-11103/31941633_zpid/,MultiFamily,1940,"Garage, Garage - Attached, Covered",No Data,$637 ,,"$5,144/mo",$0/mo,"$1,070/mo",$535/mo,"-Ps 70,-Is 10 Horace Greeley,-William Cullen Bryant High School,","0.7,0.8,0.3,"
421,1725000,2,2,1196,"20 Bayard St APT 12D, Brooklyn, NY 11211",https://www.zillow.com/homedetails/20-Bayard-St-APT-12D-Brooklyn-NY-11211/142870161_zpid/,Condo,2007,0 spaces,No Data,"$1,209 monthly","$1,442 ","$5,803/mo",$0/mo,$934/mo,$604/mo,"-P.S. 34 Oliver H Perry,-Automotive High School,","0.7,0.2,"
422,5995000,3,3,2542,"36 Bleecker St, New York, NY 10012",https://www.zillow.com/homedetails/36-Bleecker-St-New-York-NY-10012/219641803_zpid/,Condo,1920,0 spaces,No Data,"$3,406 monthly","$2,358 ","$20,168/mo",$0/mo,"$4,396/mo","$2,098/mo","-Ps 3 Charrette School,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.6,0.6,0.9,"
423,1509000,6,4,3000,"7607 160th St, Flushing, NY 11366",https://www.zillow.com/homedetails/7607-160th-St-Flushing-NY-11366/32072853_zpid/,MultiFamily,1952,0 spaces,"Other, Gas",$503 ,,"$5,077/mo",$0/mo,"$1,056/mo",$528/mo,"-Ps 154,-I.S. 250 the Robert F Kennedy Community Middle School,-Queens School Of Inquiry,","0.6,0.7,0.4,"
424,860000,3,2,NA,"15404 58th Ave, Flushing, NY 11355",https://www.zillow.com/homedetails/15404-58th-Ave-Flushing-NY-11355/32070534_zpid/,SingleFamily,0,None,"Natural Gas, Hot Water",No Data,,"$2,929/mo",$0/mo,$602/mo,$301/mo,"-Ps 163 Flushing Heights,-Is 237,-John Bowne High School,","0.9,0.8,0.3,"
425,399000,2,2,1150,"34 Maryland Ln, Staten Island, NY 10305",https://www.zillow.com/homedetails/34-Maryland-Ln-Staten-Island-NY-10305/32321167_zpid/,SingleFamily,1988,"Private Drive, Built-In Garage, Garage Door Opener","Natural Gas, Ductless/Split",900 sqft,$347 ,"$1,458/mo",$0/mo,$289/mo,$140/mo,"-Ps 13 M L Lindenmeyer,-Is 49 Bertha A Dreyfus,-Curtis High School,","0.7,0.3,0.3,"
426,299900,1,1,NA,"39-65 51st St #4F, Woodside, NY 11377",https://www.zillow.com/homedetails/39-65-51st-St-4F-Woodside-NY-11377/2078166944_zpid/,Cooperative,1950,0 spaces,No Data,$636 monthly,,"$1,096/mo",$0/mo,$210/mo,$105/mo,"-Ps 11 Kathryn Phelan,-Is 10 Horace Greeley,-William Cullen Bryant High School,","0.8,0.8,0.3,"
427,450000,3,2,3060,"59 Union Ave, Staten Island, NY 10303",https://www.zillow.com/homedetails/59-Union-Ave-Staten-Island-NY-10303/32299735_zpid/,SingleFamily,1905,"Garage, Garage - Attached","Forced air, Gas","3,060 sqft",$147 ,"$1,644/mo",$0/mo,$326/mo,$158/mo,"-Ps 44 Thomas C Brown,-Is 51 Edwin Markham,-Port Richmond High School,","0.5,0.4,0.2,"
428,695000,1,1,795,"906 Prospect Pl #4C, Brooklyn, NY 11213",https://www.zillow.com/homedetails/906-Prospect-Pl-4C-Brooklyn-NY-11213/2079167505_zpid/,Condo,2019,0 spaces,No Data,$575 monthly,$874 ,"$2,367/mo",$0/mo,$376/mo,$243/mo,"-Ps 289 George V Brower,-Ps 138,-Academy for Health Careers,","0.8,0.8,0.3,"
429,525000,"Studio,",1,NA,"56 Jane St APT 3C, New York, NY 10014",https://www.zillow.com/homedetails/56-Jane-St-APT-3C-New-York-NY-10014/219647309_zpid/,Cooperative,1940,Covered,No Data,$993 monthly,,"$1,918/mo",$0/mo,$385/mo,$184/mo,"-P.S. 41 Greenwich Village,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.9,0.6,0.9,"
430,8300000,3,4,3100,"100 11th Ave APT 20A, New York, NY 10011",https://www.zillow.com/homedetails/100-11th-Ave-APT-20A-New-York-NY-10011/97522232_zpid/,Condo,2007,0 spaces,Forced air,"$4,987 monthly","$2,677 ","$27,923/mo",$0/mo,"$6,087/mo","$2,905/mo","-Ps 11 William T Harris,-Middle 297,-Nyc Lab High School For Collaborative Studies,","0.7,0.6,0.9,"
431,1095000,1,1,870,"205 3rd Ave APT 2K, New York, NY 10003",https://www.zillow.com/homedetails/205-3rd-Ave-APT-2K-New-York-NY-10003/126229696_zpid/,Cooperative,1964,Garage - Detached,Forced air,"$1,564 monthly","$1,259 ","$3,684/mo",$0/mo,$803/mo,$383/mo,"-P.S. 40 Augustus St.-Gaudens,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
432,1950000,3,3,NA,"50 E 89th St APT 5D, New York, NY 10128",https://www.zillow.com/homedetails/50-E-89th-St-APT-5D-New-York-NY-10128/2073924493_zpid/,Cooperative,1973,0 spaces,No Data,"$4,182 monthly",,"$6,560/mo",$0/mo,"$1,430/mo",$683/mo,"-Ps 6 Lillie D Blake,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
433,699000,1,1,154506,"345 E 73rd St APT 5G, New York, NY 10021",https://www.zillow.com/homedetails/345-E-73rd-St-APT-5G-New-York-NY-10021/244895360_zpid/,Cooperative,1961,0 spaces,No Data,"$1,706 monthly",$5 ,"$2,381/mo",$0/mo,$513/mo,$245/mo,"-P.S. 158 Baylard Taylor,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","0.8,0.3,0.9,"
434,2650000,2,3,1653,"200 E 69th St APT 21B, New York, NY 10021",https://www.zillow.com/homedetails/200-E-69th-St-APT-21B-New-York-NY-10021/31536976_zpid/,Condo,1991,0 spaces,No Data,"$3,148 monthly","$1,603 ","$8,915/mo",$0/mo,"$1,943/mo",$928/mo,"-East Side Elementary School, PS 267,-Life Sciences Secondary School,-Nyc Lab High School For Collaborative Studies,","1.0,0.3,0.9,"
435,460000,3,2,1224,"116-09 167th St, Jamaica, NY 11434",https://www.zillow.com/homedetails/116-09-167th-St-Jamaica-NY-11434/2077770575_zpid/,SingleFamily,1945,"Private, Driveway","Natural Gas, Hot Water",0.03 Acres,$376 ,"$1,680/mo",$0/mo,$322/mo,$161/mo,"-Ps 140 Edward K Ellington,-Jhs 8 Richard S Grossley,-High School for Law Enforcement and Public Safety,","0.5,0.7,0.3,"
436,1675000,3,2,2115,"11004 15th Ave, Flushing, NY 11356",https://www.zillow.com/homedetails/11004-15th-Ave-Flushing-NY-11356/32023187_zpid/,SingleFamily,1930,None,"Natural Gas, Hot Water",0.11 Acres,$792 ,"$5,635/mo",$0/mo,"$1,173/mo",$586/mo,"-Ps 29,-Jhs 194 William Carr,-Flushing High School,","0.8,0.7,0.2,"
437,619000,3,1,1280,"3187 Parsifal Pl, Bronx, NY 10465",https://www.zillow.com/homedetails/3187-Parsifal-Pl-Bronx-NY-10465/29843328_zpid/,SingleFamily,1940,"Detached, Driveway","Oil, Hot Water",0.05 Acres,$484 ,"$2,108/mo",$0/mo,$490/mo,$217/mo,"-Ps 71 Rose E Scala,-Westchester Square Academy,","0.7,0.2,"
438,315000,3,2,917,"898 Wheeler Ave #898B, Bronx, NY 10473",https://www.zillow.com/homedetails/898-Wheeler-Ave-898B-Bronx-NY-10473/2073928202_zpid/,Condo,1989,Assigned,"Natural Gas, Baseboard",$309 monthly,$344 ,"$1,151/mo",$0/mo,$249/mo,$110/mo,"-Ps 93 Albert G Oliver,-Jhs 123 James M Kieran,-Felisa Rincon De Gautier Institute for Law and Public Policy,","0.5,0.7,0.1,"
439,199000,1,1,650,"1600 Metropolitan Ave APT 5D, Bronx, NY 10462",https://www.zillow.com/homedetails/1600-Metropolitan-Ave-APT-5D-Bronx-NY-10462/29806942_zpid/,Condo,1940,Other,"Oil, Hot Water",$712 monthly,$306 ,$772/mo,$0/mo,$158/mo,$70/mo,"-Ps 106 Parkchester,-Jhs 127 The Castle Hill,-Bronx High School For The Visual Arts,","0.4,0.5,0.3,"
