,0
775,"Studio,"
776,1.0
777,2.0
778,4.0
779,1.0
780,3.0
781,2.0
782,1.0
783,2.0
784,2.0
785,"Studio,"
786,6.0
787,2.0
788,1.0
789,2.0
790,1.0
791,4.0
792,1.0
793,2.0
794,7.0
795,5.0
796,3.0
